Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Corajoud, Caroline",https://books.google.com/books/about/Lausanne_quelle_aventure.html?hl=&id=yeJdswEACAAJ,,,,,fr,2016,Pierre Corajoud,"Promenade; Enfants; Lausanne (Suisse, VD); [Guides touristiques et de visite]","Lausanne, quelle aventure ! /","Lausanne, quelle aventure !",646
"Corajoud, Pierre",https://books.google.com/books/about/Balades_insolites_en_pente.html?hl=&id=QEGYzwEACAAJ,,,,,fr,2022,Pierre Corajoud,Randonnée pédestre--Léman (bassin),Balades insolites en pente : de Lausanne à Montreux par des chemins à (re)découvrir /,Balades insolites en pente,647
"Hazard, Paul",https://books.google.com/books/about/La_pens%C3%A9e_europ%C3%A9enne_au_XVIII%C3%A8me_si%C3%A8.html?hl=&id=MRTrswEACAAJ,,,,,fr,1949,Boivin,histoire des idées (discipline)--Europe--18e s.; philosophie européenne--18e s.,La pensée européenne au XVIIIème siècle : de Montesquieu à Lessing /,La pensée européenne au XVIIIème siècle,669
"Aumeries, Sylvie d'",https://books.google.com/books/about/La_responsabilit%C3%A9_civile_du_notaire_et.html?hl=&id=INpD0QEACAAJ,,,,,fr,1980,C Gloor-Luder; éditeur non identifié,assurance responsabilité civile--notaire--responsabilité professionnelle--Vaud (Suisse); Verfassungsrecht; Staatsorganisation und Verwaltung; Notar; Zivilrecht; Versicherungsrecht; Sachversicherung; Berufs-Haftpflichtversicherung; Zwangsvollstreckung; Rechtsanwalt; Schweiz; Waadt,La responsabilité civile du notaire et son assurance : étude de droit vaudois /,La responsabilité civile du notaire et son assurance,671
"Barthes, Roland, 1915-1980",https://books.google.com/books/about/La_nuit_sera_noire_et_blanche.html?hl=&id=CQ9cjgEACAAJ,"En 1980, La Chambre claire. Note sur la photographie de Roland Barthes est le premier livre à paraître au sein d'une collection née d'une coédition entre Gallimard et les Cahiers du cinéma. C'est aussi le dernier livre de Barthes, qui meurt des suites d'un accident le 25 mars de la même année. Depuis, La Chambre claire est devenu un classique, et ses hypothèses sur la photographie ont depuis été reprises et discutées partout, à commencer par la distinction entre punctum et studium. Mais l'histoire de ce livre n'a quant à elle jamais été dûment racontée. Les circonstances de son écriture, le caractère particulier du lieu double et même triple - aux Cahiers et à Gallimard il faut en effet ajouter le Seuil - restent peu ou mal commentés. Tantôt on sousévalue, tantôt au contraire on surestime le rapport de Barthes au cinéma et à la photographie. On parle d'une collection ""Cahiers du cinéma"" au sein de Gallimard ; on attache peu d'importance au choix des photos, et notamment au fait que la première, un polaroïd de Daniel Boudinet, est et devait être en couleurs... En cette année du centenaire Barthes, Jean Narboni a voulu revenir sur cette histoire. Critique et historien du cinéma, celui-ci la connaît bien, puisqu'après avoir été rédacteur en chef de la revue il fut à la fois fondateur des éditions au sein des Cahiers du cinéma et éditeur de La Chambre claire au sein de cette collection où paraîtront d'autres classiques (La Rampe de S. Daney, L'Homme ordinaire du cinéma de J.-L. Schefer...). Narboni fut donc un témoin privilégié. Il a suivi pas à pas l'élaboration du livre, échangeant des lettres avec Barthes, recherchant les droits des photos que celui-ci avait retenues, accompagnant le choix définitif de certaines et le rejet d'autres... S'aidant aujourd'hui de ces documents demeurés inédits - photos, lettres...-, Narboni propose de retracer la ""genèse d'un livre"" dans un texte extrêmement personnel qui tient à la fois du récit et de l'essai. Il raconte la fabrication du livre, il s'attarde sur le compagnonnage ancien - remontant au début des années 1960 - entre Barthes et les Cahiers. Il livre une lecture approfondie de ce grand texte qu'est La Chambre claire, sous un angle tantôt génétique et tantôt biographique, et sous plusieurs signes à la fois : l'autobiographie et la théorie ; la photographie et le cinéma ; Jean-Paul Sartre auquel le livre est dédié et le grand absent de celui-ci, dont l'ombre plane pourtant au-dessus de chaque page, André Bazin, critique, théoricien et co-fondateur des Cahiers du cinéma.",235096115X,,,fr,2015-10-08,Seuil; Gallimard,photographie--* esthétique; image--* sémiologie,La chambre claire : note sur la photographie /,La chambre claire,808
"Lombardini, Carlo juriste",https://books.google.com/books/about/La_protection_de_l_investisseur_sur_le_m.html?hl=&id=HBJWAQAACAAJ,,,,,fr,2012,Schulthess,Kapitalmarkt; Bank; Anlage(Investition); Finanzintermediär; Rechtsvergleichung; Gemeinschaftsrecht; droit bancaire--investissement - protection--marché financier--Union européenne--* droit comparé--Suisse; Schweiz,La protection de l'investisseur sur le marché financier : analyse critique du droit suisse dans une perspective de droit européen /,La protection de l'investisseur sur le marché financier,1144
"Ambrosius, évêque de Milan, saint",https://play.google.com/store/books/details?id=8zEjAQAAMAAJ,,320900465X,,http://books.google.com/books/content?id=8zEjAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,la,1982,Hoelder-Pichler-Tempsky,"Ambroise--(saint)--[correspondance]; tradition manuscrite--Ambroise (saint). ""Lettres""",Sancti Ambrosii opera.,Sancti Ambrosii opera.,1178
Olivier Robert,https://books.google.com/books/about/Mat%C3%A9riaux_pour_servir_%C3%A0_l_histoire_du.html?hl=&id=F-BKAAAAYAAJ,"MUSSOLINI, Benito, homme d'Etat italien, 1883-1945",,,http://books.google.com/books/content?id=F-BKAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1987,Univ de Lausanne,"doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne--1937--[document]",Matériaux pour servir à l'histoire du doctorat H.C. décerné à Benito Mussolini en 1937 /,Matériaux pour servir à l'histoire du doctorat H.C. décerné à Benito Mussolini en 1937,1226
"Gygax, David",https://books.google.com/books/about/La_Swiss_South_African_Association_1956.html?hl=&id=jyeTAAAAIAAJ,"Les trois entreprises vaudoises membres lors de la fondation de la SSAA étaient: Nestlé de Vevey, Suchard de Lausanne et la S.A. des câbleries et tréfileries de Cossonay.",,,http://books.google.com/books/content?id=jyeTAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2001,Chaire d'histoire contemporaine de l'Université de Fribourg,Swiss-South African Association (Zurich)--1956 / 2000; Swiss-South African Association (Zurich); relations économiques internationales--Afrique du sud (république)--Suisse--1956 / 2000; Relations économiques extérieures; 20e siècle (2e moitié); Suisse; Afrique du Sud (république),La Swiss-South African Association (1956-2000) : un organe du capital helvétique en Afrique du Sud /,La Swiss-South African Association (1956-2000),1253
"Courtieu-Capt, Anne-Marie",,,,,,,,Ecole nationale des Chartes,vignoble--Vaud (Suisse)--Moyen-Âge,Recherches sur l'histoire du vignoble au Moyen-Age dans la partie méridionale de l'ancien diocèse de Lausanne /,Recherches sur l'histoire du vignoble au Moyen-Age dans la partie méridionale de l'ancien diocèse de Lausanne,1264
"Faïk-Nzuji Madiya, Clémentine",https://play.google.com/store/books/details?id=zx4sDwAAQBAJ,"Masterarbeit aus dem Jahr 2013 im Fachbereich Germanistik - Komparatistik, Vergleichende Literaturwissenschaft, Note: 18/20, Université de Picardie Jules Verne (UFR de Cultures et Langues Étrangères, dep. Allemand), Sprache: Deutsch, Abstract: Die Verrückung in der Literatur vom Realen zum Fiktiven eröffnet einen Raum, der auf vielschichtige Weise neue Denkprozesse möglich macht. Kann Literatur auch zu einem neuen kulturüberbrückenden Identitätsverständnis beitragen? Heute, am Anfang des 21. Jahrhunderts, wird unter Kultur „die Gesamtheit der geistigen, künstlerischen, gestaltenden Leistungen einer Gemeinschaft als Ausdruck menschlicher Höherentwicklung“ verstanden. Diese Auffassung, die das Gewicht auf Gemeinschaft, also auf eine Gruppe und nicht auf das Individuum legt, trägt die Spuren des Kulturkonzeptes von Johann Gottfried Herder, das Kultur als Spiegelung der homogenen Identität einer Nation, d.h. eines Volkes sieht. Entspricht diese Definition wirklich noch dem Zeitgeist des 21. Jahrhunderts, das vor allem durch Globalisierung, internationale Vernetzung, der Aufhebung von Raum- und Zeitgrenzen durch fortschreitende Technik und dem durch Migration bedingten Zusammenleben von Menschen verschiedenster Herkunft und Nationalitäten gekennzeichnet ist? Anhand je eines Beispiels aus der deutschen und der französischen zeitgenössischen Literatur, ""Gefährliche Verwandtschaft"" von Zafer Şenocak und ""Murmures à Beyoğlu"" von David Boratav, werden in dieser Arbeit Beiträge aus zwei verschiedenen Sprach- und Kulturräumen zur literarischen Debatte um Multi-, Inter- und Transkulturalität vorgestellt, untersucht und verglichen. Beide Romane greifen durch die polykulturelle Charakterisierung ihrer Protagonisten einen viel diskutierten Aspekt der Identitätsproblematik des auslaufenden 20. und beginnenden 21. Jahrhunderts auf. Wie wird Entwurzelung und Identitätslosigkeit in den Romanen verarbeitet und dargestellt? Wird die Fremd-Eigen-Dichotomie in den Werken literarisch überwunden? Inwieweit ist Erinnerung und die Tradierung von Geschichte zentral für die Identitätssuche bzw. -findung? Gibt es eine Geschichte und Identität ohne Erinnerung? Welche Rolle nehmen Sprache und Schreiben im transkulturellen Prozess ein? Was haben Globalisierung und Identitätsverlust im literarischen Sinn gemein?",9783668479562,,http://books.google.com/books/content?id=zx4sDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2017-07-10,ONRD; Editions Lettres Congolaises,Literary Criticism,Murmures : poèmes /,Murmures,1310
Benoît Carron,https://books.google.com/books/about/La_loi_f%C3%A9d%C3%A9rale_sur_le_contrat_d_assur.html?hl=&id=9qicNAAACAAJ,,2827107821,,,fr,1997,Olivier Carré,assurances privées--contrat d'assurance--Suisse--[manuel]; Privatversicherung; Versicherungsvertrag; Bundesgesetz über den Versicherungsvertrag; Schweiz; Textreproduktion; Kommentar(Werk),"Loi fédérale sur le contrat d'assurance : accompagnée d'autres textes, complets ou en extraits, relatifs à l'assurance privée /",Loi fédérale sur le contrat d'assurance,1321
Bibliothèque publique et universitaire (Genève),https://books.google.com/books/about/Guide_du_lecteur.html?hl=&id=Lhv1ZwEACAAJ,,,,,fr,1991,,,YYYY Prêt interbibliothèques BPUL,YYYY Prêt interbibliothèques BPUL,1345
"Wiedler, Aurélien 19..-....",https://play.google.com/store/books/details?id=rOW9DwAAQBAJ,"A l'heure où la densification du milieu bâti est érigée en principe et où les nouvelles constructions apparaissent à un rythme effréné, la question de la préservation des monuments et des sites construits prend toute son importance. La présente étude a pour but d'examiner si l'arsenal juridique actuel permet une protection efficace du patrimoine bâti. Après un chapitre dédié au droit constitutionnel et à la pesée des intérêts, cette étude propose une analyse détaillée de la LPN et de la LPNMS vaudoise, en mettant en exergue leurs forces et leurs faiblesses, tout en proposant des modifications législatives. Les systèmes de protection en place dans les autres cantons romands sont ensuite examinés et comparés. Sont notamment étudiées les incidences de l'ISOS en droit cantonal. Enfin, le dernier chapitre est consacré aux mesures de protection découlant de l'aménagement du territoire.",9783727288999,,http://books.google.com/books/content?id=rOW9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2019-10-24,Stämpfli,Droit; Protection; Patrimoine culturel; Constructions; Architecture; Denkmalschutz; Grundrechtseingriff; Eigentumsgarantie; Wirtschaftsfreiheit; Glaubens- und Gewissensfreiheit; Interessenabwägung; Verhältnismässigkeit; Zumutbarkeit; Denkmal; Bundesinventar; kantonales Inventar; Eintragung; Unterschutzstellung; Bundesrecht; kantonales Recht; Finanzhilfe; Subvention; Verwaltungs- und Verwaltungsgerichtsverfahren; Rechtsvorkehr; Beschwerdelegitimation; Raumplanung und öffentliches Baurecht; Richtplan; Nutzungsplan; Schutzmassnahme; Suisse; Schweiz; Waadt; Freiburg(Kanton); Genf(Kanton); Jura; Neuenburg(Kanton); Wallis; [Thèses et écrits académiques],La protection du patrimoine bâti : étude de droit fédéral et cantonal /,La protection du patrimoine bâti,1353
Jules Nicole,https://books.google.com/books/about/Les_Scolies_Genevoises_de_l_Iliade_Vol_1.html?hl=&id=QPrqtAEACAAJ,"Excerpt from Les Scolies Genevoises de l'Iliade, Vol. 1: Publi'es Avec une tude Historique, Descriptive Et Critique sur le Genevensis 44, ou Codex Ignotus d'Henri Estienne, Et une Collation Compl'te de ce Manuscrit A une exception pr's, qui confirme la r'gle. Voir dans la collation du manuscrit la note sur le vers I4 du chant I. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0243327722,,http://books.google.com/books/content?id=QPrqtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2017-02-09,H Georg; Hachette,"Homère.--""Iliade""--[scholies]",Les scolies genevoises de l'Iliade /,Les scolies genevoises de l'Iliade,1359
"Mortimer J. Adler, Charles Van Doren",https://play.google.com/store/books/details?id=O7S5EAAAQBAJ,"""Wie man ein Buch liest"" gilt noch immer als die beste und erfolgreichste Anleitung zur Verbesserung und Vertiefung des Lesens. Mit der detaillierten Systematik von Adler und Van Doren lernt der Leser, schneller und besser das geschriebene Wort zu verstehen. Dazu stellt das Buch die wichtigsten Lesetechniken zusammen – vom systematischen Querlesen und prüfenden Lesen bis hin zum Schnelllesen, ganz gleich, ob es sich um Sachbücher, Romane, Drama, Lyrik, historische, philosophische oder naturwissenschaftliche Texte handelt.",9783963181412,,http://books.google.com/books/content?id=O7S5EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2022-01-19,Biblioteca apostolica vaticana,livre--papier--Antiquité / Moyen-Âge--[études diverses],"Ancient and medieval book materials and techniques : (Erice, 18-25 september 1992) /",Ancient and medieval book materials and techniques,1361
Silvio Bär,https://play.google.com/store/books/details?id=XrLkEAAAQBAJ,"Die Arbeit stellt die erstmalige Teilkommentierung (Verse 1–219) des ersten Buches der Posthomerica des Quintus Smyrnaeus dar, welches in Fortsetzung der Ilias das Geschick der Amazonenkönigin Penthesileia vor Troja berichtet. Auf essayhafte Einleitungen zu den einzelnen inhaltlichen Einheiten folgt der jeweilige Lemmakommentar. Vorangestellt sind der Arbeit eine Einleitung zum Gesamtwerk sowie zu Posthomerica 1. Diese setzt sich u.a. vertieft mit Sprache und Formgestalt des Werks sowie dessen Bedeutung im Kontext der Zweiten Sophistik auseinander. Ferner werden die narrative Struktur des ersten Buches analysiert und die Amazonomachie vor dem Hintergrund zeitgenössischer Geschlechter- und Identitätsdiskurse in einen konkreten Rezeptionskontext gestellt.",9783647252933,,http://books.google.com/books/content?id=XrLkEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2010-02-18,Università di Genova Facoltà di lettere Dipartimento di archeologia filologia classica e loro tradizioni,Homère - réception--Antiquité / Renaissance--[études diverses],Posthomerica : tradizioni omeriche dall'Antichità al Rinascimento /,Posthomerica,1363
"Beauvoir, Simone de 1908-1986",https://books.google.com/books/about/La_vieillesse.html?hl=&id=d2CJPwAACAAJ,,2070354083,,,fr,1979,Gallimard,vieillesse,La vieillesse /,La vieillesse,1414
"Maine De Biran, Marie-François-Pierre",https://books.google.com/books/about/Amy.html?hl=&id=YWzDxQEACAAJ,"personalisiertes Cover im modernen Flamingo Design ganze 120 dotgrid / gepunktete Seiten im tollen 6x9 Zoll Format (ca. DINA5) perfekt als Bullet Journal, Notizbuch oder Tagebuch hochwertiges, mattes und handschmeichelndes Coverfinish optimal als kleine Aufmerksamkeit für die Familie, Freundinnen und Arbeitskolleginnen weitere Namen über die Amazon Suche ""MatDesignz + gewünschten Namen"" Dieses tolle Bullet Journal, Notizbuch bzw. Tagebuch zeigt auf dem Cover einen stylischen Falmingo und den Namen: Amy. Es ist super als individuelles und außergewöhnliches Geschenk für Freundinnen, Familie und Arbeitskolleginnen geeignet, ob zu Weihnachten, Ostern oder zum Geburtstag. Falls Sie den gewünschten Namen nicht direkt gefunden haben sollten, gehen Sie einfach auf die Amazon Suche und tragen ""MatDesignz + gewünschten Namen"" ein.",1070905860,,http://books.google.com/books/content?id=YWzDxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2019-05-30,La Baconnière,,Journal /,Journal,1464
"Maine De Biran, Marie-François-Pierre",https://books.google.com/books/about/Amy.html?hl=&id=YWzDxQEACAAJ,"personalisiertes Cover im modernen Flamingo Design ganze 120 dotgrid / gepunktete Seiten im tollen 6x9 Zoll Format (ca. DINA5) perfekt als Bullet Journal, Notizbuch oder Tagebuch hochwertiges, mattes und handschmeichelndes Coverfinish optimal als kleine Aufmerksamkeit für die Familie, Freundinnen und Arbeitskolleginnen weitere Namen über die Amazon Suche ""MatDesignz + gewünschten Namen"" Dieses tolle Bullet Journal, Notizbuch bzw. Tagebuch zeigt auf dem Cover einen stylischen Falmingo und den Namen: Amy. Es ist super als individuelles und außergewöhnliches Geschenk für Freundinnen, Familie und Arbeitskolleginnen geeignet, ob zu Weihnachten, Ostern oder zum Geburtstag. Falls Sie den gewünschten Namen nicht direkt gefunden haben sollten, gehen Sie einfach auf die Amazon Suche und tragen ""MatDesignz + gewünschten Namen"" ein.",1070905860,,http://books.google.com/books/content?id=YWzDxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2019-05-30,La Baconnière,,Journal /,Journal,1465
"Maine De Biran, Marie-François-Pierre",https://books.google.com/books/about/Amy.html?hl=&id=YWzDxQEACAAJ,"personalisiertes Cover im modernen Flamingo Design ganze 120 dotgrid / gepunktete Seiten im tollen 6x9 Zoll Format (ca. DINA5) perfekt als Bullet Journal, Notizbuch oder Tagebuch hochwertiges, mattes und handschmeichelndes Coverfinish optimal als kleine Aufmerksamkeit für die Familie, Freundinnen und Arbeitskolleginnen weitere Namen über die Amazon Suche ""MatDesignz + gewünschten Namen"" Dieses tolle Bullet Journal, Notizbuch bzw. Tagebuch zeigt auf dem Cover einen stylischen Falmingo und den Namen: Amy. Es ist super als individuelles und außergewöhnliches Geschenk für Freundinnen, Familie und Arbeitskolleginnen geeignet, ob zu Weihnachten, Ostern oder zum Geburtstag. Falls Sie den gewünschten Namen nicht direkt gefunden haben sollten, gehen Sie einfach auf die Amazon Suche und tragen ""MatDesignz + gewünschten Namen"" ein.",1070905860,,http://books.google.com/books/content?id=YWzDxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2019-05-30,La Baconnière,,Journal /,Journal,1466
"Bonaparte, Marie",https://play.google.com/store/books/details?id=uZF4DwAAQBAJ,"Das Heft für Kinder ab 6 Jahren enthält 31 sehr leichte Bearbeitungen für Klavier, die schon ab dem ersten Unterrichtsjahr gespielt werden können. Schwierigkeitsgrad: 1",9783795772802,,http://books.google.com/books/content?id=uZF4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2017-12-08,Imago; L'auteur,Music,"Cinq cahiers écrits par une petite fille entre sept ans et demi et dix ans, et leurs commentaires /","Cinq cahiers écrits par une petite fille entre sept ans et demi et dix ans, et leurs commentaires",1468
"Bonaparte, Marie",https://books.google.com/books/about/A_la_m%C3%A9moire_des_disparus.html?hl=&id=PF5JAAAAMAAJ,,,,http://books.google.com/books/content?id=PF5JAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1952,Presses univ de France; Imago Publ Co,"Authors, French",A la mémoire des disparus /,A la mémoire des disparus,1469
"Plinius Secundus, Caius",https://play.google.com/store/books/details?id=2qZAAAAAcAAJ,,,,http://books.google.com/books/content?id=2qZAAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1850,Les Belles Lettres,,Histoire naturelle /,Histoire naturelle,1555
Boris Andreevich Uspenskiĭ,https://books.google.com/books/about/Travaux_sur_les_syst%C3%A8mes_de_signes.html?hl=&id=9uVYAAAAMAAJ,,,,http://books.google.com/books/content?id=9uVYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1976,Ed Complexe,sémiologie--[études diverses],Travaux sur les systèmes de signes : Ecole de Tartu /,Travaux sur les systèmes de signes,1562
"James, Henry, 1843-1916",https://play.google.com/store/books/details?id=i_vSAgAAQBAJ,"Edition enrichie (Préface, notes et chronologie) Le huis clos d’une vieille demeure dans la campagne anglaise. Les lumières et les ombres d’un été basculant vers l’automne. Dans le parc, quatre silhouettes – l’intendante de la maison, deux enfants nimbés de toute la grâce de l’innocence, l’institutrice à qui les a confiés un tuteur désinvolte et lointain. Quatre... ou six ? Que sont Quint et Miss Jessel ? Les fantômes de serviteurs dépravés qui veulent attirer dans leurs rets les chérubins envoûtés ? Ou les fantasmes d’une jeune fille aux rêveries nourries de romanesque désuet ? De la littérature, Borgès disait que c’est « un jardin aux sentiers qui bifurquent ». Le Tour d’écrou n’en a pas fini d’égarer ses lecteurs. Traduction, préface, notes et dossier de Monique Nemer.",9782253163244,,http://books.google.com/books/content?id=i_vSAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2014-02-26,La Guilde du livre,Fiction,Le tour d'écrou /,Le tour d'écrou,1581
